ሃⶔ	U+1203 U+2D94
ሃⶕ	U+1203 U+2D95
ሃⶖ	U+1203 U+2D96
ሃⶠ	U+1203 U+2DA0
ሃⶡ	U+1203 U+2DA1
ሃⶢ	U+1203 U+2DA2
ሃⶣ	U+1203 U+2DA3
ሃⶤ	U+1203 U+2DA4
ሃⶥ	U+1203 U+2DA5
ሃⶦ	U+1203 U+2DA6
ሃⶭ	U+1203 U+2DAD
ሃⶰ	U+1203 U+2DB0
ሃⶱ	U+1203 U+2DB1
ሃⶲ	U+1203 U+2DB2
ሃⶳ	U+1203 U+2DB3
ሃⶴ	U+1203 U+2DB4
ሃⶶ	U+1203 U+2DB6
ሃⷅ	U+1203 U+2DC5
ሃⷐ	U+1203 U+2DD0
ሃⷑ	U+1203 U+2DD1
ሃⷒ	U+1203 U+2DD2
ሃⷓ	U+1203 U+2DD3
